URL,Texto,Título,Clases CSS,Rel,Encontrado en,Timestamp
https://fundacioncolombina.com,- Fundación Colombina,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581455
https://colombina.com/co-es/product/brand/fun-mix,Fun Mix,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580613
https://colombina.com/co-es/product/brand/tentazione,Tentazione,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581100
https://colombina.com/co-es/product/brand/crakenas,Crakeñas,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582060
https://colombina.com/co-es/product/brand/menta-helada,Menta Helada,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582257
https://colombina.com/co-es/product/brand/colombina,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583487
https://colombina.com/co-es/product/brand/bon-bon-bum,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584446
https://colombina.com/co-es/sostenibilidad/reportes,Reportes,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582891
https://colombina.com/co-es/product/category/chocolateria,Chocolatería,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.579865
https://colombina.com/co-es/product/brand/kick-back,Kick Back,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582157
https://colombina.com/co-es/product/brand/capri,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583373
https://colombina.com/co-es/product/brand/chocobreak,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583431
https://colombina.com/co-es/contactanos/trabaja-con-nosotros,Trabaja con Nosotros,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582955
https://colombina.com/co-es/product/brand/max,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583692
https://colombina.com/co-es/product/brand/robin-hood,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584252
https://colombina.com/co-es/contactanos,Contáctanos,,nav-link,,https://colombina.com/co-es,2025-10-13T11:37:34.581513
https://colombina.com/co-es/product/brand/choco-disk,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583413
https://colombina.com/co-es/product/brand/chupileta,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584598
https://colombina.com/co-es/contactanos/trabaja-con-nosotros,Trabaja con Nosotros,,nav-link,,https://colombina.com/co-es,2025-10-13T11:37:34.581494
https://colombina.com/co-es/product/brand/nucita,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.585018
https://colombina.com/co-es/quienes-somos,Quiénes Somos,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581238
https://colombina.com/co-es/product/brand/ponky,Ponky,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580967
https://colombina.com/dxp/assets/css/owl.theme.default.min.css,,,,stylesheet,https://colombina.com/co-es,2025-10-13T11:37:34.579452
